n;diameter soil level (cm);sectional area (m2);estimated height (cm);x;y;Distance from propagules source (m)
510;8,912676813;0,006238874;800;115,04;36,53;120,7006317
494;9,549296586;0,007161972;1200;116,72;31,83;120,9822603
490;11,77746579;0,010894156;1200;120,25;25,1;122,8416562
459;11,4591559;0,01031324;1000;122,25;20,85;124,0152612
381;12,25493062;0,011795371;1200;121,89;-24,79;124,3853536
388;11,14084602;0,00974824;1000;124,79;-18,59;126,1670805
397;10,18591636;0,008148733;1500;126,99;-8,49;127,2734858
398;13,52817016;0,014373681;1200;126,99;-9,39;127,3366884
396;13,68732511;0,014713874;1600;128,39;-8,64;128,6803858
253;8,912676813;0,006238874;500;131,13;14,25;131,9020068
467;13,68732511;0,014713874;1200;129,15;31,55;132,9478281
287;8,594366927;0,005801198;700;131,36;-28,23;134,3591549
215;9,390141642;0,006925229;1300;135,2;1,04;135,2039999
456;13,36901522;0,014037466;1200;134,25;24,4;136,4493404
246;14,96056465;0,017578663;1300;135,75;14,85;136,5598221
247;10,50422624;0,008665987;900;137,15;13,05;137,7694632
245;13,36901522;0,014037466;1300;137,05;14,85;137,8521853
214;13,36901522;0,014037466;1200;139,1;0,24;139,100207
213;10,66338119;0,008930582;1300;140,1;2,34;140,1195404
195;11,30000096;0,010028751;1000;139,1;22,9;140,9724086
210;11,30000096;0,010028751;130;141;3,04;141,0327678
454;15,27887454;0,018334649;1300;139,35;30;142,5427041
241;10,50422624;0,008665987;700;142,55;15,45;143,3848144
194;10,50422624;0,008665987;1000;142,1;21,7;143,7473478
243;9,071831756;0,00646368;800;142,75;18,25;143,9118654
267;14,00563499;0,015406198;700;142,65;-26,45;145,0814426
206;9,390141642;0,006925229;700;146,1;1,03;146,1036307
170;14,00563499;0,015406198;700;144,4;30,51;147,588008
260;11,14084602;0,00974824;700;151,15;-10,55;151,5177382
262;9,549296586;0,007161972;700;151,15;-18,95;152,3332695
147(DAP);10,18591636;0,008148733;800;153,24;-19,49;154,4744565
136(DAP);10,18591636;0,008148733;1200;154,48;11,3;154,8927384
148(DAP);13,68732511;0,014713874;1000;154,04;-20,79;155,4366292
121(DAP);11,14084602;0,00974824;1300;154,8;21,2;156,2449359
124(DAP);13,36901522;0,014037466;700;157,85;5,5;157,9457898
122(DAP);14,32394488;0,016114438;1400;157,6;24,76;159,5331238
120(DAP);15,59718442;0,019106551;1500;159,35;20,7;160,6888686
111(DAP);8,276057041;0,005379437;700;159,77;41,14;164,9816732
114(DAP);13,20986028;0,01370523;1300;163,54;38,14;167,92853
77;9,230986699;0,006692465;600;167,75;-12,96;168,2498859
119(DAP);8,276057041;0,005379437;600;169,41;25,84;171,3693488
83;13,68732511;0,014713874;1100;171,57;-5,16;171,6475764
94;8,594366927;0,005801198;750;169,15;29,2;171,6518642
117(DAP);15,43802948;0,018718611;1500;169,41;32,74;172,5446484
78;11,77746579;0,010894156;900;173,37;-11,96;173,7820431
97;13,05070533;0,013376973;1500;168,55;44,9;174,4279579
81;10,50422624;0,008665987;800;175,27;-5,51;175,3565881
93;9,867606472;0,007647395;700;173;31,25;175,7997796
62;10,3450713;0,00840537;700;179,65;-12,86;180,1096946
60;9,230986699;0,006692465;700;180,05;-11,46;180,4143401
48;8,912676813;0,006238874;800;182,2;38,59;186,2418538
53;9,230986699;0,006692465;850;182,85;46,83;188,751613
576;16,71126902;0,021933541;700;61,77;40,71;73,97862529
618;17,02957891;0,022777062;1500;75,81;15,39;77,35637142
546;17,98450857;0,025403118;1800;96,62;17,29;98,15481904
529;19,41690306;0,029610777;1600;109,32;28,74;113,0347292
446;19,41690306;0,029610777;1400;114,08;8,6;114,4036992
403;19,41690306;0,029610777;1500;117,3;12;117,9122131
507;17,18873385;0,023204791;1600;113,98;43,08;121,8496073
383;17,66619868;0,024511851;1500;120,89;-16,29;121,9826061
498;18,78028328;0,027700918;1500;121,42;39,88;127,8015289
217;28,64788976;0,064457752;2000;129,5;1,84;129,5130712
281;21,32676237;0,035722327;800;135,85;-23,61;137,8863829
192;22,44084698;0,039551993;2000;145,55;23,7;147,46692
143(DBH);17,66619868;0,024511851;1600;151,69;-10,54;152,0557388
71;18,4619734;0,026769861;1500;170,28;-23,6;171,907645
99;20,05352283;0,031584298;1800;166,35;45,1;172,3552509
116(DBH);16,2338042;0,0206981;1500;169,11;38,44;173,4238326
56;18,4619734;0,026769861;1100;184,3;-1,4;184,3053173
55;16,55211408;0,021517748;1000;184,45;3,8;184,4891392
